"According to the user decision matrix, what is the recommendation for a tool with high tactical agency but low strategic agency?","It is risky and may lead to dependency, because you have good control but will be locked in."
What user strategy involves starting with minimal AI assistance and gradually increasing its use over time?,Graduated Adoption.
What is a key practice for 'Skill Preservation' when using AI tools?,Periodically having 'AI-free days' or deliberately practicing core skills without AI assistance.
What is the first legislative recommendation for policymakers regarding AI agency?,"Mandate agency transparency, requiring tools to disclose their default mode and the degree of AI involvement."
"For high-stakes domains like legal documents or academic work, what interaction mode should be mandated as the default?",Suggest mode (opt-in).
What is a key policy mechanism for supporting open alternatives to proprietary AI tools?,"Using public funding or government procurement requirements to favor open-source, agency-preserving tools."
"In research, what is the objective of a longitudinal study on AI tool usage?",To track how the use of an AI tool affects human capabilities and skills over time.
What is the primary goal of an A/B test comparing 'suggest mode' to 'publish mode'?,"To measure how the default interaction mode affects user behavior, perceived control, and error rates."
What does the Tactical Agency Subscale of the Agency Distribution Questionnaire (ADQ) measure?,"A user's perceived control over the AI's immediate actions, such as the ability to stop, undo, or adjust its help."
What does the Strategic Agency Subscale of the Agency Distribution Questionnaire (ADQ) measure?,"A user's ability to make long-term choices, such as exporting data, switching tools, or understanding data policies."
"In the Authorship Risk Assessment, which default mode receives the highest score (least risk)?",Suggest mode (opt-in).
"The implementation pattern of _____ requires more user confirmation for higher-risk actions, like 'Accept all suggestions'.",Confirmation Escalation
What is the 'Graduated Disclosure' pattern?,"A method of presenting information about agency in layers, from a simple visible indicator to detailed documentation in settings."
What is the key principle behind the 'Contextual Mode Switching' pattern?,"The system should suggest, but not force, changes in agency mode based on the user's current task (e.g., brainstorming vs. revision)."
Term: Hidden Defaults,"An anti-pattern where users are not made aware of the AI's default mode (e.g., 'publish' mode), eroding agency through ignorance."
Term: Asymmetric Friction,"An anti-pattern where accepting an AI suggestion is made significantly easier than rejecting it, nudging users toward dependency."
Term: Attribution Soup,"An anti-pattern where AI and human contributions become blended and indistinguishable, making honest attribution impossible."
Term: Forced Dependency,"An anti-pattern where basic product features require the use of AI, eliminating the user's choice to work without it."
Term: Export Sabotage,"An anti-pattern where a tool makes it difficult to leave by providing no export, a proprietary format only, or a degraded export."
"In agency-preserving design, what does a very high AI suggestion acceptance rate (e.g., >90%) likely indicate?",A red flag suggesting users don't feel they have a real choice or that friction is asymmetric.
What is a key Agency Health Metric to track over time?,"The user's skill trajectory, to see if skills are developing or atrophying due to AI use."
What is a primary symptom of users over-relying on an AI tool?,"A very high acceptance rate of AI suggestions (e.g., >90%) and a decline in user skill when the AI is unavailable."
"If users are ignoring an AI feature completely, what is the first potential cause to investigate?",The quality of the AI's suggestions or its level of intrusiveness.
"What is a good solution for 'Attribution Confusion,' where users can't tell AI and human work apart?","Implementing clear visual indicators like color coding, providing filter views, and including attribution data in exports."
"If users complain about cognitive overload from too many settings, what is a recommended solution?","Use better defaults, implement progressive disclosure to hide advanced options, or offer task-based presets (e.g., 'Academic', 'Creative')."
"In the cockpit analogy for AI agency, what does a clear light showing what the autopilot is doing represent?","Legibility, the principle that agency distribution must be clear to the user."
"In the cockpit analogy for AI agency, what does an easy-to-reach override button represent?","Control and Recovery mechanisms, such as granular undo."
"In the cockpit analogy for AI agency, what does the pilot's certainty they can land the plane themselves represent?","Strategic Agency, the ability to function without the system and avoid lock-in."
Term: Transactional Agency,"A category of agency where commercial terms (such as paid API relationships with training opt-out) preserve rights that free-tier users forfeit. It partially mitigates low tactical agency by eliminating temporal agency erosion and maintaining cleaner copyright chains."
"In a composite agency architecture, what determines the effective agency level?","The lowest-agency layer that touches content generation. An L5 wrapper cannot 'launder' an L1 system's authorship risk."
"What is the formula for calculating composite agency in layered tool chains?","Effective Agency = min(Surface Layer, Generation Layer) + Data Policy Modifier"
"How does a paid API relationship with training opt-out affect agency calculation?","It eliminates the temporal agency erosion (no future homogenization risk) but does not change the base tactical agency level determined by the generation layer."
